"Data Source","World Development Indicators",

"Last Updated Date","2023-05-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Armenia","ARM","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000845272.34894","1076844299.56421","1122222601.56886","971558318.649861","1084633087.76365","1225498657.18256","1404249050.54557","1595022199.20653","1560606156.65686","1580780514.91752","",
"American Samoa","ASM","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","109000000","108000000","79000000","68000000","67000000","77000000","112000000","163000000","41000000","21000000","89000000","93000000","77000000","94000000","92000000","67000000","89000000","80000000","109000000","","",
"Antigua and Barbuda","ATG","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","2642901.48148148","3332353.7037037","4098412.22222222","5247499.62962963","5592225.92592593","6434890.37037037","6741313.7037037","7388632.96296296","7756340.74074074","8235127.40740741","8821162.22222222","9231003.33333333","10257521.4814815","11570370.3703704","10937037.037037","10281481.4814815","9766666.66666667","9962962.96296296","9888888.88888889","10288888.8888889","11177777.7777778","12144444.4444444","12940740.7407407","13481481.4814815","13929629.6296296","14800000","16311111.1111111","17066666.6666667","18325925.9259259","21044444.4444444","22244444.4444444","21762962.962963","25318518.5185185","24770370.3703704","25555555.5555556","25318518.5185185","32362962.962963","34429629.6296296","35862962.962963","39181481.4814815","36562962.962963","39740740.7407407","38859259.2592593","33307407.4074074","34129629.6296296","",
"Australia","AUS","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42941900731.0504","40964602464.4847","40945166500.0385","40179876335.0197","42626080940.8509","48283338283.3383","51107738998.4825","53560025043.0427","49808044495.6929","46507707732.7986","48082019719.902","41672212085.4352","41729803264.9644","50768200349.4467","66833831270.451","71833558863.3288","73947289607.667","79337363586.4018","97094897045.658","78451627153.5856","91771337972.3421","103004042196.589","109033821406.476","104167436134.195","93458184154.9619","85081121557.5339","73430630368.3214","76941699977.3739","82528486163.8633","78035331140.0372","74662823434.7768","86154936935.5922","",
"Austria","AUT","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","9559766817.51937","11147605528.2658","13644273666.256","15787049922.7998","17399137417.5707","14742195438.0508","14352821650.3993","14467727899.4944","13389500722.0961","13889358206.9699","19815689950.4281","24102827601.219","26007803410.2307","25827837753.5101","32595386663.4394","33319365939.8939","36049725770.0977","33240693245.0018","35326635345.1391","43160024566.6712","41832583831.5571","37884203405.1189","38690429079.5909","38869687701.919","35936240321.6471","36225267768.6182","38005312368.3059","45775074807.1528","52262070710.143","55024769129.5875","59936662752.5646","70651377249.7414","75252497823.4062","65735746847.3632","64641056436.5001","71640791048.8328","68395172488.1367","70963139794.6473","73292112909.835","63751123948.039","67480034846.8134","70278076016.0707","76569334980.345","73767157112.5489","71428570042.5994","79481035892.4406","",
"Azerbaijan","AZE","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1561933533.61814","1464297449.7293","97638888.8888889","281075000","151129936.305732","278803670.556248","331279786.121121","332580604.692009","370121478.418196","276820388.349515","279056772.46312","353162246.322345","463382020.160461","628449241.421444","719039381.296428","859318806.854242","1211327512.87217","1647243910.96609","2298807205.45278","2447499377.95472","2506728133.56591","2630365961.75763","2955448065.17312","3126577437.85851","3541756980.74716","2648740972.08667","1852729209.75121","1920462468.04555","2176529411.76471","2410470588.23529","2604941176.47059","3727705882.35294","",
"Burundi","BDI","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","16331428.5714286","18544000","20174857.1428571","28385774.6232474","32778412.6984127","36111746.031746","36680579.7101449","43157777.7777778","50360000","72806666.6666667","63285555.5555556","70860000","83547777.7777778","90438945.6697149","77319355.1081781","84263816.389096","94531838.4864675","119821948.850761","105953915.73774","130127877.882609","133812151.47003","148352459.603444","93133560.2463719","79077429.9835255","86506532.4166973","82619976.1369005","54500412.8819158","94802299.9858096","92113341.6174259","91378496.5221094","94893712.3787587","95788227.3739989","91509292.4065903","86649686.5012655","104804589.203477","132769070.945652","132013380.985174","150665093.957248","155099457.632631","169067238.334057","187887952.719496","208355990.48842","206047290.700293","234025960.220458","273939176.111103","269320542.938433","247085763.341474","","","","","","",
"Belgium","BEL","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52813218390.8046","50725472312.7036","46496842580.0631","46946765947.9884","44694827428.726","41523865340.0785","40342826002.3229","43394458524.9413","51530124780.745","59406411226.5253","61216581533.3852","61314657349.4117","70922375577.2159","72388378038.6719","62426974247.0703","64214798756.6668","67661692084.6305","62635374936.9141","65550726755.3335","67270098564.588","58685798177.6953","58826808693.1519","62489218021.4119","66139475417.0196","66155122261.9607","64558637371.9846","73193410993.0221","",
"Benin","BEN","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","38270389.1137489","45480733.0625693","56403361.8497442","70662558.7285998","82814892.6172899","64217950.5797226","67726437.3084142","99953518.6095289","105161871.667005","112005136.321727","85726569.7940798","115335589.427226","94996692.6989026","83303450.8911295","82488427.26866","95944078.3422979","112052905.369928","131734894.48652","117714808.674257","144567171.004111","142237019.725501","134632926.428935","168914307.539202","128717735.998993","175248859.85811","195385918.236333","192092908.416991","196091043.030973","484312461.157941","492230578.788186","573333632.12364","656120890.448675","842328366.707628","916681871.399368","1029205220.62806","1085950778.8286","1122583424.86122","1198995510.76233","1189974568.85425","1119438569.90499","1254708362.91138","1193479626.8415","1367170240.85458","1379814512.8743","1142878265.6122","1173981451.26593","1221907961.29305","1306787719.90592","1419844689.18638","1516193919.17211","1676978846.02054","",
"Burkina Faso","BFA","Manufacturing, value added (current US$)","NV.IND.MANF.CD","37226998.4188102","37217132.3423582","42228722.5337012","43881606.7006127","44709843.6418487","47190314.734011","55324144.491335","67627967.6212567","71295784.091997","76484004.883817","76337513.9424992","84014340.3188231","106285703.232503","128379104.95439","139110078.864268","170447254.924925","173227354.200975","185855293.294481","226626761.808577","277612996.047416","284313207.711488","256165618.634571","252587325.319082","256156147.753932","220606080.648266","206878820.646258","278770879.445022","355237939.072978","394160524.052185","378999541.704714","457411328.970914","419369381.60676","485814081.131338","455208416.648244","254877167.286228","336006112.009975","345800737.519754","351404108.044725","387091293.72942","548655346.381395","455850762.311886","476679804.428659","537961897.22208","738979038.533368","825416592.394252","819970230.91524","919517950.498597","1093355154.89194","1229928526.4574","1280378815.86261","1227306584.97885","1402783043.8117","1299101612.10429","1367254711.68634","1533180072.88196","1379664847.6341","1427126237.0791","1447287183.63191","1672461704.23254","1620813678.35729","1668287721.38308","1879424372.89766","",
"Bangladesh","BGD","Manufacturing, value added (current US$)","NV.IND.MANF.CD","226993053.481755","263549989.529379","276869197.333551","285087405.340382","296989675.700848","321644341.388005","386256588.821014","404960108.911272","460503960.871228","495643959.475145","521998979.261416","480057689.261041","250514166.666667","689132129.546331","1157568227.46673","1369606286.61559","939265010.10101","1083458209.43762","1316355416.66667","1534982306.17608","2627747105.87855","2831325423.25581","2582283071.20758","2649048848.23232","2952393797.12","3221030024.15385","3096970980.16667","3273869886.77419","3567442434.2321","3714461768.48189","4183373453.68304","4330061263.30532","4565273705.57029","5111802526.45503","5358902326.68329","6032422651.74129","6502616136.91932","6811990632.3185","7427621145.37445","7377371048.25291","7490618167.36235","7655077835.43365","7835086191.88577","8509758203.79965","9403023611.34704","10238666666.6667","10993750891.8999","12685416378.5114","14774963565.078","16888530705.3242","18584403328.5489","20577869200.2028","21222528249.5229","24661459165.3291","28720955217.7353","32751122556.5332","53970134073.4011","58971425899.3151","66854215526.542","74490450938.4833","77017599101.8243","88396662036.502","",
"Bulgaria","BGR","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahrain","BHR","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","498540726.983285","538031914.893617","452393617.021277","444680851.06383","486170212.765957","369148936.170213","423136968.085106","543611436.170213","672149734.042553","665624468.085106","707351329.787234","731603723.404255","661627393.617021","798316755.319149","895620744.680851","1114481382.97872","","","","","","","","","","","2451276595.74468","3143670212.76596","3881462765.95745","3207154255.31915","3723856382.97872","4330186170.21277","4568776595.74468","4821462765.95745","4984148936.17021","5398138297.87234","5835452127.65957","6564574468.08511","6660701063.82979","6811336702.12766","6294815159.57447","7818815691.48936","",
"Bahamas, The","BHS","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","131439000","120438000","149360000","135535000","131806000","133966000","121136000","154169000","148600000","136400000","210100000","233200000","184000000","224300000","214000000","243300000","235200000","256400000","243700000","220900000","208900000","214800000","220700000","315800000","272900000","295200000","287800000","357500000","337300000","260900000","150400000","135000000","189000000","",
"Bosnia and Herzegovina","BIH","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","144487654.320988","213470588.235294","318626063.264221","412045441.439363","496855941.35364","501376906.318083","517547291.568535","545647327.964861","626685659.287777","790348759.376803","926139619.047619","1115872067.14567","1288749342.56943","1705854093.77187","2104748202.51648","1845496839.26415","1869659646.50911","2035260430.73424","1816590264.09145","1988204195.23454","2030319020.48569","1891948001.13411","2092049884.05633","2371209577.04276","2669339287.86964","2613741571.74747","2616331391.96273","3374293057.57136","",
"Belarus","BLR","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8264000000","8000000000","6666666666.66667","4578512396.69421","4034071836.18664","3909030223.51127","4361846153.84615","4294946849.4839","4486992715.92092","3422615776.4897","3444492987.6727","3286330935.2518","3789893914.01452","4751730862.99366","6607777777.77778","7655246053.8533","9238508158.50816","11277213420.3169","15910533707.8652","11424991049.0512","12880832494.1255","16317788944.7236","16278757346.7674","16612950450.4505","16619913928.0125","11654715559.4625","9617159227.98553","11836878331.522","12761385944.2481","13938187207.19","13186587965.2402","15592232244.8497","",
"Belize","BLZ","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","22550000","20950000","36034442.745","30631224.2365","22957812.815","26966952.2505","32318816.941","27091352.447","27086925.394","39344993.1755","43529001.215","46854603.6265","63297236.0021855","62931650","71630800","74030300","77236150","82322850","87440700","85306200","87678550","90069500","107644400","105651500","106690200","105558650","111858150","115420550","123083600","128819500","127760850","129991350","126441700","126450150","141978450","149528200","150883500","161611000","161954950","160307600","152056600","159146750","151575900","168955050","",
"Bermuda","BMU","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77586000","84077000","71565000","78134000","80210000","","","","","56755000","44426000","38139000","33436000","30792000","34216000","29743000","33116000","35210000","38308000","23167000","25244000","",
"Bolivia","BOL","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","134932659.93266","148316498.316498","161865362.91839","162268865.567216","257871064.467766","295552223.888056","350124937.531234","405847076.461769","465467266.366817","577063514.235442","584277330.103507","867402519.001852","419768466.563074","650504778.241946","699186121.687488","862209873.207179","746889297.884477","742845554.183809","819668173.424263","801029591.817003","825689314.981029","947392839.188963","967442917.57467","967587653.278938","996349399.415648","1123417244.75554","1214990619.95034","1150825666.59688","1188982032.99396","1126284013.4884","1111976485.80901","1086469660.50644","1030513333.33333","1033285695.63401","1097335496.47177","1110266026.95231","1297680338.50916","1497657912.16629","1862267590.45632","2014339330.48433","2214517864.52321","2477409528.61468","2766467120.11577","3043801287.98842","3213277004.34153","3363113189.55967","3728168487.72728","3935972531.09502","4167012459.6937","4289716339.98748","4013837354.16415","4334302944.58582","",
"Brazil","BRA","Manufacturing, value added (current US$)","NV.IND.MANF.CD","3852188024.9444","4193057035.9607","4772116035.59079","6257148156.92859","5172614043.19552","5087286129.07197","6341101585.21343","6868292262.30246","8083123875.88107","9057518719.32158","10427349463.2674","12302545578.472","14659092894.4013","20247558633.575","27916785406.0384","33056629539.4761","40879104318.7074","45552868289.134","54595852921.7408","62757114219.2285","71097586790.7491","77880098856.9116","87523772929.0972","60618125231.8446","64546457187.1385","57190370911.1111","66223729020.339","70974702723.5294","77589430754.185","101543542074.364","89195353371.2484","74822659969.7434","76496007344.5097","95940079689.7617","124624210233.59","111878600504.472","111126848373.296","114981339400.738","104985257942.44","73807144653.0914","86090888322.877","73300268598.9104","62994413539.2412","80668388984.5654","101060214967.01","131410962249.425","156276368960.603","197747018437.677","236655318137.201","217703817695.309","281009549795.362","308287900645.624","263182120679.945","259140577941.654","253878453166.171","189609846974.661","193692320997.909","221238954753.4","201824949395.15","193556090809.989","139980408073.402","155191759380.098","",
"Barbados","BRB","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","35592297.4110193","42316099.4111189","51136635.4395057","55884253.9650972","67767115.795754","91234524.9341222","94317108.3378909","102222443.195943","118679461.045095","131308109.183115","115298563.118381","114005866.852285","111171878.884304","119425247.352459","115994630.338587","209516233.281957","197832247.79993","172450000","172724108.785363","169492368.120121","177099388.455228","186595734.102322","199025505.891712","222443195.942923","225227464.823746","236900000","238050000","234100000","259650000","267650000","267950000","325250000","322000000","343200000","313550000","264000000","286200000","260950000","274250000","261900000","257100000","256200000","255050000","249150000","249100000","228350000","244950000","",
"Brunei Darussalam","BRN","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","93151134.6382699","136633913.886897","201554152.501214","207428056.079364","231310466.138962","300285109.90527","582383710.06912","433568419.557912","422429906.542056","386180785.612873","383010641.788946","356347438.752784","244787361.072839","276828110.161444","271814748.558935","370999384.710045","392017600","461461796.712202","539483425.414365","503886681.51999","491125049.103051","615611895.019049","652784751.77305","779548558.728448","553554373.804971","623151150.442478","921964211.136891","880803315.287157","916475538.9255","1004303294.68488","1046026742.39735","1173087839.46167","1211718799.16924","1271448477.20788","1972974880.04516","1499243778.35831","2043374990.83242","3044426027.50616","3166233594.75032","2985155370.84399","2757671823.20442","1878493563.16823","1306608339.96959","1535197841.98711","1908396397.06427","1832140448.61457","1893301732.26064","2593230280.23486","",
"Bhutan","BTN","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","3849770.99236641","8215935.33487298","8229238.90063425","10423554.4554455","10699568.6619718","10046426.8391269","10212759.7145123","14356782.4074074","15057327.5862069","20541059.7658657","23096122.2158766","21281547.9331574","22015933.6419753","20827704.1653001","24624950.5897354","31241825.4702436","35523361.5580017","36002756.816304","34721863.7905962","36155441.2447747","36022583.4445928","39849591.0150456","39835182.0613043","44744467.5826535","50665401.5887026","58296986.3945578","68377422.9147814","97542227.650338","105583794.580878","103650335.810335","138305945.439992","150948029.269024","161366987.791276","149817911.252641","159021456.836448","164352108.043565","164968532.025305","183956697.931255","181838878.775251","180173756.715038","137679960.485617","148774467.705266","",
"Botswana","BWA","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","5305039.78779841","4044630.40446304","4811715.48117155","4463040.44630404","4386575.68583763","5653266.33165829","7509825.94048287","9704968.94409938","13686788.647169","18248712.2884474","23664638.2691007","25126494.9402024","27612826.6033254","37732431.7797633","41349693.2515337","46706124.5496655","65077088.5622087","68903564.1448966","69468502.1424013","62577017.8681454","56212551.2456638","77217817.0400724","107778902.853059","135267417.696599","152687478.286764","180838484.27842","190294815.987337","202185144.807319","179233213.651933","207665946.509722","251821657.889041","272185789.06203","285142982.360031","297877375.233678","305099039.875443","325708573.444667","320601931.110046","329435190.745599","428576557.102164","497509237.358563","490936775.656185","704497452.961254","901226200.56037","824318021.356692","856981817.165379","1074101993.05228","1168248135.47425","1122852139.2882","1140775752.14217","1214211944.647","979899293.92264","980855760.260999","994270210.925005","1047029588.28333","1019001072.21145","846611355.447043","980191093.201961","",
"Central African Republic","CAF","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","399148701.640295","394161775.913748","486830093.500543","593681832.933998","356262689.826029","330516632.361689","334839449.21929","355042206.82356","382150006.682088","402697649.548606","394998947.963087","412458435.750696","439828887.742374","",
"Canada","CAN","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105091001011.122","103044826423.997","115847748536.044","126793481920.409","118523372933.884","119490855795.578","131315395046.749","146770945426.595","156900478626.836","166007581100.141","174832883344.195","164795688847.235","138303735456.216","162173511981.153","178532770701.081","183205382392.948","177060852680.399","170212707042.821","155268331357.555","151699381162.328","159724381266.888","170222213294.137","","","","",
"Central Europe and the Baltics","CEB","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76851186977.2879","81393292223.718","79714743930.3721","84733019802.3466","79638742909.7212","78469593305.4127","84567164891.2695","92850968767.5537","113689747135.521","141894549100.08","162785023879.936","186033454066.291","232423934636.952","275310152287.309","220478499459.122","236323119528.02","270890827918.707","245601214411.749","247412316666.435","272224442540.997","243895886225.405","249507530994.822","266893685960.255","294520124712.411","293938651261.21","280169875597.787","320452299981.309","",
"Switzerland","CHE","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52805333285.3441","53094650627.6151","54395952211.6342","52359178397.4012","59035268699.2762","66858033826.6385","63723309870.5502","55356992351.6847","55954245413.1604","54200099853.5481","49257433088.5836","52635875207.3951","58018396638.0085","67219665849.8552","74558708484.1174","78296376485.7051","84251179613.9735","94535412362.5458","109755585818.484","99199403547.4681","107172338607.283","130252179878.718","121711714705.637","125713637931.168","127503936546.654","118823719530.313","119227507976.678","121597716374.838","128184410887.461","129294876606.878","131200927028.874","144042167944.083","",
"Channel Islands","CHI","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Manufacturing, value added (current US$)","NV.IND.MANF.CD","896201641.263636","1021818068","1279547706.72727","1341241825.5625","1451619205.91304","1432875803.28125","1610721329.46154","1654648975.13725","1822993611.73913","2099005145.34884","2324581448.58407","2659506126.80328","2770917186.15385","4560500929.18995","4790378461.87584","1545532768.41141","2405820921.14943","3036145403.71402","3580851308.27543","4631241411.54362","6223083508.71795","7606199525.89744","4915831229.22805","4248129647.03643","4504969812.04305","3885102595.79759","3375401418.90841","3896528024.88492","4702504910.41182","5389879149.27889","6130051148.90128","7217510297.52019","8727288907.55144","9500324002.52369","10967678700.7949","14211918264.9898","11964593478.1778","12756921452.9368","11821718768.6204","11099855685.03","11888134541.6475","11397519016.255","11095117583.0824","11624376165.2007","14090691222.1195","15679799424.9968","17974174915.9597","18364744985.9946","17919639328.9265","17588925262.8179","21465590619.7407","24894006201.0158","26257331044.3442","27682450327.4302","25734202694.652","25216898734.7331","24196746453.115","25317363262.3854","28371102329.1724","25051917598.3898","22511798703.3261","27446580546.443","",
"China","CHN","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","625223572999.227","733656163674.75","893130831640.204","1149720025369.7","1475664386144.17","1611946249670.64","1924324261142.05","2421372746266.35","2690090775153.27","2935340069079.05","3184235114106.2","3202504408571.66","3153118068885.54","3460325198695.03","3868457703814.99","3823413525563.08","3860679921168.56","4865827260040.32","",
